company_name,url,postal_code,address,city,province,phone,email,naics_code,naics_description,size,membership,type_organization,data_source
A & L Seafoods,,B1C 1L1,20 Minto Street,Louisbourg,Nova Scotia,902-733-2900,al.seafoods@ns.sympatico.ca,,,,,,FBA Original
ABM Integrated Solutions,www.abmis.ca,B3B 0A1,98 Williams Avenue,Dartmouth,Nova Scotia,902-481-8954,bcarmichael@abmis.ca,,,,,,FBA Original
Acadian Seaplants,,B0W 2A0,8421 Hwy 3,Charlesville,Nova Scotia,902-373-6040,matkins@acadian.ca,,,,,,FBA Original
Acadian Seaplants Limited,www.acadianseaplants.com,B3B 1X8,30 Brown Ave,Dartmouth,Nova Scotia,902-468-2840,nhameed@acadian.ca,,,,,,FBA Original
Acadian Supreme,www.acadiansupreme.com,C0B 2E0,8323 Rt 11,Wellington,Prince Edward Island,902-854-2675,jeffm@acadiansupreme.com,,,,,,FBA Original
Access Labels,www.accesslabels.com,B4H 3Y2,531 Highway 6,East Amherst,Nova Scotia,902-667-0278,suzanne.macphee@accesslabels.com,,,,,,FBA Original
ACS Logistics,www.acscargo.ca,B4A 3Y4,1595 Bedford Highway,Bedford,Nova Scotia,902-422-6991,bill@acscargo.ca,,,,,,FBA Original
Agriculture and Agri-Food Canada,,B3J 2N7,P O BOX 248,Halifax,Nova Scotia,902-426-7171,janet.steele@agr.gc.ca,,,,,,FBA Original
Agropur Dairy Cooperative,,,,Studholm,New Brunswick,506-432-1950,george.macphee@agropur.com,,,,,,FBA Original
Alain Bosse Consulting Ltd The Kilted Chef,www.kiltedchef.ca,B0K 1H0,3007 three brooks rd,Pictou,Nova Scotia,9023969146,alain@kiltedchef.ca,,,,,,FBA Original
Alliance Seafood Inc,www.allianceseafood.ca and www.greatlittleharbour.com,E1A 9J0,P.O. Box 8050,Dieppe,New Brunswick,(506) 854-5800,pierre@allianceseafood.ca,,,,,,FBA Original
Alyssa Foods,www.trawlerbrand.com,B0W 2A0,155 HWY 3,LOWER EAST PUBNICO,Nova Scotia,902-762-3663,alyssafoods@gmail.com,,,,,,FBA Original
Amalgamated Dairies Limited (ADL),www.adl.ca,C1N 1A6,79 Water Street,Summerside,Prince Edward Island,902-888-5017,lturner@adl.ca,,,,,,FBA Original
Amalgamated Dairies Limited / Perfection Foods (1991),www.adl.ca,C1A 1S6,215 Fitzroy Street,Charlottetown,Prince Edward Island,9025665515,mdoucette@adl.ca,,,,,,FBA Original
American Equipment Company,www.seamers.com,21001,1080 Hardees Dr,Aberdeen,Ontario,4435061674,michael_riskin@seamers.com,,,,,,FBA Original
Aquashell Holdings Inc.,,B0K 1Y0,13915 Route 6,Wallace,Nova Scotia,902-257-2920,frank@aquashell.ca,,,,,,FBA Original
Association acéricole NB Maple Syrup Association,,,,,New Brunswick,506-533-4611,aanb.nbmsa@gmail.com,,,,,,FBA Original
Atlantic Aqua Farms,,C0A 2E0,918 Brush Wharf Rd,Orwell Cove,Prince Edward Island,902-651-2563,josie@canadiancove.pe.ca,,,,,,FBA Original
